"OWNERID","EMAIL","sum_AMOUNT","sum_REVENUE","mindate_CLOSEDATEFULL","maxdate_CLOSEDATEFULL"
"4478","nskeechog@examplecompany.com","82","12300","02-07-2020","02-07-2020"
"7027","rmactimpanyks@examplecompany.com","77","11550","12-29-2019","12-29-2019"
"8375","lcabralw@examplecompany.com","284","42600","01-10-2020","03-16-2020"
"8934","ebettamp0@examplecompany.com","344","51600","04-29-2020","04-29-2020"
"5312","ndanbi6u@examplecompany.com","101","15150","02-23-2020","02-23-2020"
"3857","tgendersfn@examplecompany.com","279","41850","07-29-2020","07-29-2020"
"8703","mespinazoeg@examplecompany.com","172","25800","07-04-2020","07-04-2020"
"8975","oourticpo@examplecompany.com","35","5250","11-09-2019","11-09-2019"
"2490","wfoxe5@examplecompany.com","307","46050","05-01-2020","05-01-2020"
"3398","jdorringtonov@examplecompany.com","183","27450","04-19-2020","04-19-2020"
"4798","ireddell7k@examplecompany.com","131","19650","06-04-2020","06-04-2020"
"9138","mkoppesi1@examplecompany.com","17","2550","05-13-2020","05-13-2020"
"3393","lbarwickfz@examplecompany.com","95","14250","05-14-2020","05-14-2020"
"1809","eseed6c@examplecompany.com","138","20700","05-14-2020","05-14-2020"
"8716","bbirnieh9@examplecompany.com","338","50700","07-08-2020","07-08-2020"
"2308","mturnl6@examplecompany.com","109","16350","05-30-2020","05-30-2020"
"7056","asumshon4n@examplecompany.com","199","29850","11-03-2020","11-03-2020"
"7083","kjevondy@examplecompany.com","13","1950","05-04-2020","05-04-2020"
"2225","wyitzhoko3@examplecompany.com","103","15450","02-06-2020","02-06-2020"
"5247","caustone1@examplecompany.com","331","49650","03-05-2020","03-05-2020"
"6661","pvaudrel3@examplecompany.com","550","82500","05-06-2020","07-22-2020"
"1568","ctreasaden9z@examplecompany.com","311","46650","09-10-2020","09-10-2020"
"2371","gfallowfieldaw@examplecompany.com","90","13500","06-18-2020","06-18-2020"
"3377","rpielegn@examplecompany.com","342","51300","08-17-2020","08-17-2020"
"8682","aricks5g@examplecompany.com","288","43200","06-28-2020","06-28-2020"
"9841","ecoultish4h@examplecompany.com","19","2850","07-04-2020","07-04-2020"
"1845","mwinckleat@examplecompany.com","183","27450","12-07-2019","12-07-2019"
"5832","cchristophersen6o@examplecompany.com","172","25800","09-11-2020","09-11-2020"
"9461","iphinnessy2s@examplecompany.com","447","67050","05-02-2020","10-06-2020"
"5077","adresse8h@examplecompany.com","347","52050","06-30-2020","06-30-2020"
"8809","aregitzj5@examplecompany.com","175","26250","12-26-2019","12-26-2019"
"6094","dhonatschco@examplecompany.com","71","10650","07-04-2020","07-04-2020"
"1883","tknibb2v@examplecompany.com","185","27750","10-11-2020","10-11-2020"
"5681","ofairpoo5@examplecompany.com","13","1950","05-19-2020","05-19-2020"
"7332","ogreiswood98@examplecompany.com","313","46950","10-11-2020","10-11-2020"
"7218","nrobilliardg5@examplecompany.com","14","2100","11-17-2019","11-17-2019"
"9397","tscrigmoura5@examplecompany.com","114","17100","02-07-2020","02-07-2020"
"2722","smathislj@examplecompany.com","214","32100","11-19-2019","11-19-2019"
"3229","osanchopw@examplecompany.com","281","42150","11-16-2019","11-16-2019"
"4241","nmoraisk3@examplecompany.com","295","44250","07-21-2020","07-21-2020"
"1563","scorleya@examplecompany.com","464","69600","03-23-2020","05-12-2020"
"5517","dabbotsc8@examplecompany.com","247","37050","05-06-2020","05-06-2020"
"4568","jkennedy6s@examplecompany.com","89","13350","09-24-2020","09-24-2020"
"3135","prosenkrantz6g@examplecompany.com","173","25950","04-18-2020","04-18-2020"
"4666","ltunmorekd@examplecompany.com","74","11100","03-12-2020","03-12-2020"
"9793","tgierekdz@examplecompany.com","62","9300","12-13-2019","12-13-2019"
"2077","ydearnlygu@examplecompany.com","267","40050","03-28-2020","03-28-2020"
"6246","nstrettonar@examplecompany.com","226","33900","03-30-2020","03-30-2020"
"1201","cblowers16@examplecompany.com","103","15450","11-20-2020","11-20-2020"
"4000","ckinnerley74@examplecompany.com","296","44400","04-22-2020","04-22-2020"
"2057","apatronif8@examplecompany.com","0","0","11-20-2019","11-20-2019"
"6143","njumonet8v@examplecompany.com","93","13950","06-09-2020","06-09-2020"
"8044","jharverson4e@examplecompany.com","256","38400","04-14-2020","04-14-2020"
"2528","shodjettsia@examplecompany.com","91","13650","08-28-2020","08-28-2020"
"6910","tliellnu@examplecompany.com","214","32100","09-22-2020","09-22-2020"
"9564","bcuckooge@examplecompany.com","212","31800","06-08-2020","06-08-2020"
"9809","alogesnl@examplecompany.com","34","5100","10-18-2020","10-18-2020"
"6959","sbestman9w@examplecompany.com","159","23850","03-13-2020","03-13-2020"
"1406","cbagnaljy@examplecompany.com","46","6900","11-07-2019","11-07-2019"
"3911","dreedekn@examplecompany.com","328","49200","04-17-2020","04-17-2020"
"5483","bmarielleh6@examplecompany.com","47","7050","11-08-2019","11-08-2019"
"4888","cmarrow5m@examplecompany.com","479","71850","12-10-2019","05-16-2020"
"2509","gbridgelandau@examplecompany.com","205","30750","11-10-2019","11-10-2019"
"1133","ghuntonmw@examplecompany.com","103","15450","01-14-2020","01-14-2020"
"3374","eissitbi@examplecompany.com","328","49200","02-27-2020","02-27-2020"
"9210","kchurn31@examplecompany.com","0","0","12-25-2019","12-25-2019"
"8060","mnockells6d@examplecompany.com","150","22500","12-02-2019","12-02-2019"
"3040","jdouldeng2@examplecompany.com","105","15750","01-28-2020","01-28-2020"
"9017","kdeblasi1l@examplecompany.com","155","23250","02-13-2020","02-13-2020"
"8584","kbarks4o@examplecompany.com","181","27150","02-12-2020","02-12-2020"
"9440","hdjakovic1p@examplecompany.com","161","24150","02-08-2020","02-08-2020"
"7177","dleggettqd@examplecompany.com","238","35700","05-04-2020","05-04-2020"
"7329","broutledge3o@examplecompany.com","318","47700","08-28-2020","08-28-2020"
"1694","nharkessbg@examplecompany.com","296","44400","07-08-2020","07-08-2020"
"6863","dcockshutc1@examplecompany.com","155","23250","10-05-2020","10-05-2020"
"6443","erosenberger4x@examplecompany.com","190","28500","09-19-2020","09-19-2020"
"6318","ckestevenol@examplecompany.com","308","46200","06-20-2020","06-20-2020"
"6072","daparkjr@examplecompany.com","112","16800","09-03-2020","09-03-2020"
"8183","fboundhn@examplecompany.com","310","46500","01-07-2020","01-07-2020"
"2213","jmersey7o@examplecompany.com","237","35550","08-21-2020","08-21-2020"
"1367","dreignoldsas@examplecompany.com","219","32850","07-05-2020","07-05-2020"
"6657","kschoalesjh@examplecompany.com","113","16950","08-27-2020","08-27-2020"
"7347","fwarmisham4v@examplecompany.com","181","27150","06-05-2020","06-05-2020"
"7578","hpackingtonkx@examplecompany.com","233","34950","10-23-2020","10-23-2020"
"1478","bgivensgt@examplecompany.com","134","20100","05-20-2020","05-20-2020"
"1171","tcapelingj8@examplecompany.com","146","21900","12-15-2019","12-15-2019"
"6291","lbestard8@examplecompany.com","37","5550","06-07-2020","06-07-2020"
"3016","cgrimstona0@examplecompany.com","148","22200","04-22-2020","04-22-2020"
"3210","mbrunsden9i@examplecompany.com","155","23250","05-17-2020","05-17-2020"
"3780","galdrick83@examplecompany.com","159","23850","08-02-2020","08-02-2020"
"2999","bharriagnm8@examplecompany.com","123","18450","06-25-2020","06-25-2020"
"4184","vchoulertonmn@examplecompany.com","257","38550","06-25-2020","06-25-2020"
"6962","hbennsi3@examplecompany.com","61","9150","08-02-2020","08-02-2020"
"6521","sbiddleet@examplecompany.com","302","45300","11-30-2019","11-30-2019"
"7141","tnekrewsls@examplecompany.com","628","94200","11-20-2019","11-30-2019"
"8304","jnorth8i@examplecompany.com","22","3300","01-14-2020","01-14-2020"
"9830","jdurtnelbh@examplecompany.com","108","16200","12-01-2019","12-01-2019"
"2412","cfullerlovedp@examplecompany.com","52","7800","12-31-2019","12-31-2019"
"6845","wfritchep8@examplecompany.com","230","34500","02-27-2020","02-27-2020"
"9024","abrazilot@examplecompany.com","385","57750","11-25-2019","12-30-2019"
"3900","tpavie1q@examplecompany.com","194","29100","06-24-2020","06-24-2020"
"6001","vpacey5r@examplecompany.com","66","9900","05-22-2020","05-22-2020"
"4399","gcoursonkm@examplecompany.com","71","10650","11-29-2020","11-29-2020"
"4243","aedisondj@examplecompany.com","171","25650","08-06-2020","08-06-2020"
"6728","gbiaggicr@examplecompany.com","285","42750","06-13-2020","06-13-2020"
"3357","membleton1i@examplecompany.com","110","16500","06-23-2020","06-23-2020"
"2305","jcrosdilln0@examplecompany.com","12","1800","06-10-2020","06-10-2020"
"4548","jaltic3@examplecompany.com","282","42300","01-14-2020","01-14-2020"
"7299","uhennemanndx@examplecompany.com","259","38850","06-26-2020","06-26-2020"
"5877","gtunstallh4@examplecompany.com","319","47850","11-05-2020","11-05-2020"
"5161","zmourtonk5@examplecompany.com","335","50250","07-27-2020","07-27-2020"
"4581","cedwickeb8@examplecompany.com","319","47850","09-16-2020","09-16-2020"
"7878","dvanderveldt1g@examplecompany.com","328","49200","07-15-2020","07-15-2020"
"2060","awandrichpq@examplecompany.com","251","37650","05-19-2020","05-19-2020"
"8649","xminnockky@examplecompany.com","269","40350","03-11-2020","03-11-2020"
"4743","mdomanekkz@examplecompany.com","237","35550","03-11-2020","03-11-2020"
"2643","dluttgert4m@examplecompany.com","55","8250","04-06-2020","04-06-2020"
"9989","llawday67@examplecompany.com","430","64500","03-28-2020","04-08-2020"
"7687","shamflettni@examplecompany.com","247","37050","11-14-2019","11-14-2019"
"1821","rvalder24@examplecompany.com","127","19050","09-27-2020","09-27-2020"
"5192","eeyckelbergfe@examplecompany.com","68","10200","04-12-2020","04-12-2020"
"2431","sigguldengq@examplecompany.com","60","9000","12-11-2019","12-11-2019"
"6486","ghampsones@examplecompany.com","77","11550","03-06-2020","03-06-2020"
"6849","merdesfd@examplecompany.com","35","5250","03-01-2020","03-01-2020"
"4027","kgunninglq@examplecompany.com","285","42750","02-02-2020","02-02-2020"
"2223","etwizelldt@examplecompany.com","15","2250","02-18-2020","09-26-2020"
"9792","fgerholzo9@examplecompany.com","148","22200","02-10-2020","02-10-2020"
"9936","gstratfordgo@examplecompany.com","123","18450","03-05-2020","03-05-2020"
"4191","lemmanueligs@examplecompany.com","119","17850","12-29-2019","12-29-2019"
"9913","dthrussellp7@examplecompany.com","134","20100","07-20-2020","07-20-2020"
"5972","aproctorpk@examplecompany.com","225","33750","03-04-2020","03-04-2020"
"1625","fphilliphsqb@examplecompany.com","248","37200","04-12-2020","04-12-2020"
"9122","mmenauteauj9@examplecompany.com","259","38850","05-22-2020","05-22-2020"
"2053","bsherbourne28@examplecompany.com","289","43350","12-22-2019","12-22-2019"
"4765","mjenckes36@examplecompany.com","118","17700","08-07-2020","08-07-2020"
"8170","dcasini38@examplecompany.com","203","30450","06-04-2020","06-04-2020"
"5213","jodlin73@examplecompany.com","168","25200","12-26-2019","12-26-2019"
"9135","acridlandbr@examplecompany.com","331","49650","09-16-2020","09-16-2020"
"2041","dcauthra2d@examplecompany.com","250","37500","06-07-2020","06-07-2020"
"5160","cerington9@examplecompany.com","10","1500","07-05-2020","07-05-2020"
"9732","smartini37@examplecompany.com","159","23850","09-21-2020","09-21-2020"
"4475","mlongcake89@examplecompany.com","329","49350","04-20-2020","04-20-2020"
"4527","jsabatepf@examplecompany.com","163","24450","04-14-2020","04-14-2020"
"2785","aroadknight2c@examplecompany.com","212","31800","04-21-2020","04-21-2020"
"3353","wcringle2n@examplecompany.com","243","36450","11-26-2019","11-26-2019"
"5631","hdagger88@examplecompany.com","223","33450","04-26-2020","04-26-2020"
"7773","ymuckip@examplecompany.com","223","33450","05-01-2020","05-01-2020"
"7273","dkingswood2i@examplecompany.com","59","8850","03-28-2020","03-28-2020"
"3156","smcknockiterdw@examplecompany.com","7","1050","10-06-2020","10-06-2020"
"9389","amattheis26@examplecompany.com","33","4950","05-31-2020","05-31-2020"
"4847","bmccrachenb4@examplecompany.com","40","6000","01-22-2020","01-22-2020"
"6557","mwaistelleo@examplecompany.com","121","18150","04-22-2020","04-22-2020"
"7696","mgrunwald77@examplecompany.com","299","44850","01-29-2020","01-29-2020"
"3117","ptummond93@examplecompany.com","257","38550","02-04-2020","02-04-2020"
"5093","jhakefs@examplecompany.com","219","32850","06-09-2020","06-09-2020"
"9009","mdythamb5@examplecompany.com","24","3600","06-09-2020","06-09-2020"
"7780","mbarnevilleg0@examplecompany.com","105","15750","10-12-2020","10-12-2020"
"7703","jcloptong4@examplecompany.com","299","44850","10-12-2020","10-12-2020"
"5857","rtennickmi@examplecompany.com","325","48750","09-24-2020","09-24-2020"
"8283","emilby1s@examplecompany.com","167","25050","09-25-2020","09-25-2020"
"5382","ntattershaw79@examplecompany.com","289","43350","08-31-2020","09-13-2020"
"7187","aflorey6f@examplecompany.com","289","43350","02-01-2020","08-20-2020"
"6147","lsouthernbx@examplecompany.com","215","32250","08-26-2020","08-26-2020"
"4557","lcomettofg@examplecompany.com","131","19650","07-27-2020","07-27-2020"
"2286","tgemlbettq0@examplecompany.com","145","21750","08-23-2020","08-23-2020"
"7050","chobgendi@examplecompany.com","54","8100","09-06-2020","09-06-2020"
"4700","fgoodie5x@examplecompany.com","249","37350","08-11-2020","08-11-2020"
"5847","bmagsonp@examplecompany.com","303","45450","09-03-2020","09-03-2020"
"9102","dchanders4d@examplecompany.com","297","44550","06-19-2020","06-19-2020"
"5588","gconochiecv@examplecompany.com","267","40050","08-29-2020","08-29-2020"
"2888","ffallowfield2k@examplecompany.com","303","45450","04-21-2020","04-21-2020"
"6773","schazottepz@examplecompany.com","165","24750","04-14-2020","04-14-2020"
"7128","vleupoldh0@examplecompany.com","102","15300","11-20-2019","11-20-2019"
"9604","lokendenij@examplecompany.com","166","24900","11-07-2019","11-07-2019"
"6073","bandrusio@examplecompany.com","299","44850","12-10-2019","12-10-2019"
"9285","jhardenf1@examplecompany.com","209","31350","04-13-2020","04-13-2020"
"8033","tsellen7y@examplecompany.com","188","28200","04-19-2020","04-19-2020"
"1594","jkinleysideer@examplecompany.com","78","11700","10-24-2020","10-24-2020"
"5577","ibridgeman2z@examplecompany.com","58","8700","11-26-2020","11-26-2020"
"5831","kgianulliew@examplecompany.com","137","20550","11-26-2019","11-26-2019"
"6843","bbrayson97@examplecompany.com","244","36600","04-22-2020","04-22-2020"
"7858","awolledgeds@examplecompany.com","129","19350","08-02-2020","08-02-2020"
"7488","mwitheford9l@examplecompany.com","129","19350","11-17-2020","11-17-2020"
"6123","mohenerydm@examplecompany.com","286","42900","07-20-2020","07-20-2020"
"7942","gmclevieo0@examplecompany.com","24","3600","10-02-2020","10-02-2020"
"3177","nfinkeroa@examplecompany.com","171","25650","01-23-2020","01-23-2020"
"5863","pkondratenko2o@examplecompany.com","229","34350","08-05-2020","08-05-2020"
"5087","dpeggje@examplecompany.com","6","900","01-16-2020","01-16-2020"
"8319","astienhamb3@examplecompany.com","175","26250","10-12-2020","10-12-2020"
"9402","bcadorefw@examplecompany.com","106","15900","06-05-2020","06-05-2020"
"7147","zmathouselh@examplecompany.com","171","25650","04-14-2020","04-14-2020"
"4128","lmarcombemb@examplecompany.com","30","4500","07-03-2020","07-03-2020"
"6639","iwitchardel@examplecompany.com","117","17550","05-01-2020","05-01-2020"
"1438","rclemmittek@examplecompany.com","120","18000","04-01-2020","04-01-2020"
"8051","fmicheufx@examplecompany.com","168","25200","06-12-2020","06-12-2020"
"8107","mtiley3r@examplecompany.com","275","41250","04-03-2020","04-03-2020"
"4528","mmelanaphymv@examplecompany.com","141","21150","01-02-2020","01-02-2020"
"9346","klowdespp@examplecompany.com","279","41850","03-25-2020","03-25-2020"
"8472","ccregino1@examplecompany.com","295","44250","03-30-2020","03-30-2020"
"9116","swhittierlm@examplecompany.com","209","31350","05-11-2020","05-11-2020"
"8062","ckaines60@examplecompany.com","33","4950","06-01-2020","06-01-2020"
"8487","jvindeng3@examplecompany.com","83","12450","04-21-2020","04-21-2020"
"9288","dbilofsky6q@examplecompany.com","60","9000","05-12-2020","05-12-2020"
"6012","mbangleym2@examplecompany.com","131","19650","05-12-2020","05-12-2020"
"2724","mmansellgj@examplecompany.com","344","51600","04-21-2020","04-21-2020"
"8952","acolreincs@examplecompany.com","115","17250","",""
"8006","scolvie4g@examplecompany.com","137","20550","",""
"7851","skinghorneh@examplecompany.com","55","8250","08-23-2020","08-23-2020"
"6136","pwalkeyb2@examplecompany.com","75","11250","08-23-2020","08-23-2020"
"8040","ejammesjx@examplecompany.com","75","11250","08-23-2020","08-23-2020"
"4607","emanston8n@examplecompany.com","200","30000","08-23-2020","08-23-2020"
"1194","sgianullifi@examplecompany.com","48","7200","04-17-2020","04-17-2020"
"4217","crathjen4i@examplecompany.com","265","39750","05-04-2020","05-04-2020"
"5699","hcolchettft@examplecompany.com","189","28350","02-11-2020","02-11-2020"
"7481","cswindin25@examplecompany.com","55","8250","06-25-2020","06-25-2020"
"2487","cpetrellok4@examplecompany.com","4","600","02-23-2020","02-23-2020"
"9581","gantonaccio8@examplecompany.com","194","29100","02-25-2020","02-25-2020"
"4353","dcookleyqc@examplecompany.com","127","19050","12-21-2019","12-21-2019"
"8681","tcoulingq5@examplecompany.com","344","51600","01-15-2020","01-15-2020"
"3815","bmcphillimeya7@examplecompany.com","184","27600","01-01-2020","01-01-2020"
"1960","sgodehardsf8a@examplecompany.com","109","16350","01-02-2020","01-02-2020"
"7608","wschapero2@examplecompany.com","146","21900","12-27-2019","12-27-2019"
"3119","gdudlestongd@examplecompany.com","136","20400","12-30-2019","12-30-2019"
"8168","dastlehk@examplecompany.com","25","3750","02-23-2020","02-23-2020"
"9781","jgammettpl@examplecompany.com","269","40350","12-04-2019","12-04-2019"
"1366","rbirchenough9b@examplecompany.com","342","51300","09-21-2020","09-21-2020"
"3390","jvermerlf@examplecompany.com","334","50100","12-13-2019","12-13-2019"
"8324","apiatkowskioe@examplecompany.com","156","23400","05-19-2020","05-19-2020"
"9847","mgatesmano2@examplecompany.com","218","32700","03-12-2020","03-12-2020"
"7960","zlewtond9@examplecompany.com","297","44550","12-10-2019","12-10-2019"
"5949","jadolfsenk1@examplecompany.com","26","3900","05-12-2020","05-12-2020"
"5589","fspadottolv@examplecompany.com","104","15600","05-28-2020","05-28-2020"
"2468","bcrop2t@examplecompany.com","34","5100","10-12-2020","10-12-2020"
"8404","smcmillamfo@examplecompany.com","301","45150","07-04-2020","07-04-2020"
"2552","cvandrielbo@examplecompany.com","289","43350","06-06-2020","06-06-2020"
"9109","thouchene@examplecompany.com","266","39900","03-02-2020","03-02-2020"
"5276","kseefp@examplecompany.com","151","22650","06-22-2020","06-22-2020"
"3869","fpenvardennn@examplecompany.com","310","46500","05-27-2020","05-27-2020"
"3476","dfarrears6r@examplecompany.com","91","13650","08-10-2020","08-10-2020"
"5627","somullaney5p@examplecompany.com","18","2700","06-19-2020","06-19-2020"
"7669","mtaftnw@examplecompany.com","241","36150","10-05-2020","10-05-2020"
"4583","gbagwortho4@examplecompany.com","63","9450","11-09-2019","11-09-2019"
"7502","kbanesou@examplecompany.com","22","3300","09-12-2020","09-12-2020"
"6167","kgeyton8y@examplecompany.com","337","50550","06-20-2020","06-20-2020"
"6119","dayrtonde@examplecompany.com","36","5400","04-11-2020","04-11-2020"
"4393","smoppett2u@examplecompany.com","391","58650","01-02-2020","05-26-2020"
"9216","pkimblingh3@examplecompany.com","459","68850","03-20-2020","09-27-2020"
"3639","lmoverley9n@examplecompany.com","100","15000","11-20-2019","11-20-2019"
"4604","shalpinelo@examplecompany.com","226","33900","03-03-2020","03-03-2020"
"3743","ckrauseg8@examplecompany.com","138","20700","11-17-2019","11-17-2019"
"6938","dmcilroy87@examplecompany.com","339","50850","11-19-2019","11-19-2019"
"7498","dwickettla@examplecompany.com","337","50550","11-23-2019","11-23-2019"
"2003","dspringatem5@examplecompany.com","78","11700","02-15-2020","02-15-2020"
"2736","bnurnymc@examplecompany.com","347","52050","12-02-2019","12-02-2019"
"1391","sbanaszczykin@examplecompany.com","55","8250","10-26-2020","10-26-2020"
"1521","rjeanel3y@examplecompany.com","80","12000","02-22-2020","02-22-2020"
"5307","lsandysjt@examplecompany.com","62","9300","07-21-2020","07-21-2020"
"1226","mrougieran@examplecompany.com","65","9750","12-09-2019","12-09-2019"
"7265","lcreesh2@examplecompany.com","22","3300","05-30-2020","05-30-2020"
"1707","dbarnwillez@examplecompany.com","153","22950","11-27-2020","11-27-2020"
"2472","lwhickman3c@examplecompany.com","158","23700","05-19-2020","05-19-2020"
"1787","tphifer51@examplecompany.com","308","46200","07-28-2020","07-28-2020"
"8251","ctremeeroo@examplecompany.com","132","19800","02-12-2020","02-12-2020"
"4640","amaddaford34@examplecompany.com","97","14550","05-31-2020","05-31-2020"
"8348","jfish7d@examplecompany.com","119","17850","11-22-2020","11-22-2020"
"1511","kheadylx@examplecompany.com","251","37650","06-27-2020","06-27-2020"
"4264","cgobbett8l@examplecompany.com","340","51000","04-07-2020","04-07-2020"
"1895","mgabrielyho@examplecompany.com","265","39750","09-10-2020","09-10-2020"
"6311","vandres5z@examplecompany.com","156","23400","03-18-2020","06-18-2020"
"9372","knoelcd@examplecompany.com","223","33450","04-26-2020","04-26-2020"
"7672","lmartuginjw@examplecompany.com","254","38100","04-29-2020","04-29-2020"
"2878","fjewissh7@examplecompany.com","287","43050","02-24-2020","02-24-2020"
"5199","kdriscollej@examplecompany.com","203","30450","02-09-2020","02-09-2020"
"5943","knarracott27@examplecompany.com","342","51300","09-14-2020","09-14-2020"
"5940","jzavattero81@examplecompany.com","79","11850","11-06-2020","11-06-2020"
"3048","rhartfieldkq@examplecompany.com","168","25200","05-10-2020","05-10-2020"
"3947","jkhomishinf6@examplecompany.com","194","29100","11-08-2019","11-08-2019"
"7856","gdaintylu@examplecompany.com","179","26850","04-07-2020","04-07-2020"
"3497","lbrindley1j@examplecompany.com","328","49200","02-28-2020","02-28-2020"
"5479","lsollamr@examplecompany.com","221","33150","02-29-2020","02-29-2020"
"1266","mgilmartineq@examplecompany.com","117","17550","08-30-2020","08-30-2020"
"6413","cmckeai6@examplecompany.com","143","21450","11-10-2019","11-10-2019"
"6018","jcelli6w@examplecompany.com","151","22650","03-02-2020","03-02-2020"
"3381","aperche8c@examplecompany.com","100","15000","03-02-2020","03-02-2020"
"3772","ereveyjz@examplecompany.com","333","49950","02-29-2020","02-29-2020"
"3010","cskatcherkc@examplecompany.com","222","33300","12-24-2019","12-24-2019"
"6117","wpollittnb@examplecompany.com","55","8250","04-27-2020","04-27-2020"
"3828","ltesyromp@examplecompany.com","300","45000","01-11-2020","01-11-2020"
"1379","abagbyko@examplecompany.com","114","17100","10-07-2020","10-07-2020"
"9299","clelievredb@examplecompany.com","250","37500","10-03-2020","10-03-2020"
"6386","lelmhurst7t@examplecompany.com","239","35850","05-26-2020","05-26-2020"
"6292","eeddsac@examplecompany.com","263","39450","11-14-2020","11-14-2020"
"6880","mchristy9j@examplecompany.com","27","4050","01-25-2020","01-25-2020"
"8705","pblandamore2e@examplecompany.com","7","1050","12-02-2019","12-02-2019"
"9843","emearinglb@examplecompany.com","157","23550","09-28-2020","09-28-2020"
"5952","glortzingow@examplecompany.com","160","24000","03-27-2020","03-27-2020"
"7381","kchavegw@examplecompany.com","212","31800","02-02-2020","02-02-2020"
"6936","gallard96@examplecompany.com","289","43350","05-16-2020","05-16-2020"
"4861","hsilsonoh@examplecompany.com","183","27450","12-26-2019","12-26-2019"
"7105","farlt6i@examplecompany.com","314","47100","10-26-2020","10-26-2020"
"6304","bproudler9h@examplecompany.com","90","13500","05-19-2020","05-19-2020"
"5355","aoldacrejb@examplecompany.com","99","14850","11-09-2019","11-09-2019"
"7034","mcottham1v@examplecompany.com","239","35850","08-25-2020","08-25-2020"
"4560","ktirej@examplecompany.com","92","13800","08-06-2020","08-06-2020"
"2742","nrigard1d@examplecompany.com","226","33900","02-14-2020","02-14-2020"
"6905","sgraddellhm@examplecompany.com","11","1650","05-09-2020","05-09-2020"
"7284","chazelgrovekv@examplecompany.com","328","49200","09-29-2020","09-29-2020"
"1640","bmcgaughay5u@examplecompany.com","314","47100","05-27-2020","05-27-2020"
"6552","fmaccardle7u@examplecompany.com","323","48450","04-01-2020","04-01-2020"
"5999","lcrozieron@examplecompany.com","113","16950","12-10-2019","12-10-2019"
"2662","rwalczak30@examplecompany.com","329","49350","02-13-2020","02-13-2020"
"2986","cchumleyd1@examplecompany.com","17","2550","12-05-2019","12-05-2019"
"1342","thalgarth6x@examplecompany.com","1","150","07-24-2020","07-24-2020"
"4769","enairns3e@examplecompany.com","55","8250","09-04-2020","09-04-2020"
"5260","cpolini8x@examplecompany.com","290","43500","12-02-2019","12-02-2019"
"1810","madamieccl@examplecompany.com","175","26250","04-25-2020","04-25-2020"
"2958","redgeson10@examplecompany.com","192","28800","06-18-2020","06-18-2020"
"4709","acowherdpg@examplecompany.com","57","8550","02-09-2020","02-09-2020"
"6024","lharragin7h@examplecompany.com","325","48750","12-11-2019","12-11-2019"
"1926","rbarthelemyjq@examplecompany.com","274","41100","02-23-2020","02-23-2020"
"5630","arobicev@examplecompany.com","140","21000","01-24-2020","01-24-2020"
"8609","pharlettd5@examplecompany.com","345","51750","03-13-2020","03-13-2020"
"3076","ktaylorsongp@examplecompany.com","52","7800","04-29-2020","04-29-2020"
"3219","sgoodhayis@examplecompany.com","264","39600","08-20-2020","08-20-2020"
"6197","tfaustianoz@examplecompany.com","42","6300","03-09-2020","03-09-2020"
"7077","smckinnonby@examplecompany.com","222","33300","08-07-2020","08-07-2020"
"9898","tdigiacomettino7l@examplecompany.com","56","8400","02-02-2020","02-02-2020"
"4127","tgullefantcg@examplecompany.com","257","38550","01-26-2020","01-26-2020"
"5198","avanhallejl@examplecompany.com","174","26100","04-19-2020","04-19-2020"
"9889","wargrave5i@examplecompany.com","341","51150","04-12-2020","04-12-2020"
"6839","hdoncaster56@examplecompany.com","44","6600","06-11-2020","06-11-2020"
"8059","ineicho99@examplecompany.com","175","26250","05-06-2020","05-06-2020"
"9826","lcoolingps@examplecompany.com","334","50100","02-27-2020","02-27-2020"
"6327","adohmerct@examplecompany.com","294","44100","12-19-2019","12-19-2019"
"8871","rterbruge2@examplecompany.com","213","31950","08-29-2020","08-29-2020"
"4033","jbrickell1y@examplecompany.com","187","28050","12-02-2019","12-02-2019"
"5073","hcordayg9@examplecompany.com","195","29250","02-05-2020","02-05-2020"
"7947","ibaiyle4p@examplecompany.com","103","15450","11-24-2019","04-25-2020"
"1917","ejoblin2j@examplecompany.com","245","36750","08-28-2020","08-28-2020"
"4911","bberntssonbm@examplecompany.com","274","41100","05-06-2020","05-06-2020"
"9171","lattridgeal@examplecompany.com","8","1200","03-28-2020","03-28-2020"
"1390","cpothbury4q@examplecompany.com","244","36600","05-17-2020","05-17-2020"
"9529","dciccone4s@examplecompany.com","295","44250","04-17-2020","04-17-2020"
"9718","onashen2@examplecompany.com","299","44850","05-04-2020","05-04-2020"
"5827","aginipi@examplecompany.com","41","6150","03-19-2020","03-19-2020"
"6023","lhaswellp4@examplecompany.com","144","21600","06-22-2020","06-22-2020"
"6333","tverrell2m@examplecompany.com","159","23850","05-17-2020","05-17-2020"
"8145","nmcgriffinbb@examplecompany.com","4","600","07-24-2020","07-24-2020"
"2326","bcastanagafr@examplecompany.com","40","6000","11-13-2020","11-13-2020"
"9286","hstormouth4l@examplecompany.com","115","17250","07-16-2020","07-16-2020"
"3916","gbartenpm@examplecompany.com","191","28650","10-20-2020","10-20-2020"
"5306","bfrankiewiczht@examplecompany.com","324","48600","07-12-2020","07-12-2020"
"5840","olererq8@examplecompany.com","108","16200","11-02-2020","11-02-2020"
"8191","rcunahjv@examplecompany.com","152","22800","01-26-2020","01-26-2020"
"4535","tcoched3@examplecompany.com","71","10650","01-17-2020","01-17-2020"
